10420;VILLENAUXE LA GRANDE;10370;DIVAL;VILLENAUXE LA GRANDE;48.5945779935,3.5477753332
10319;RIGNY LE FERRON;10160;;RIGNY LE FERRON;48.2023856771,3.62729053332
10426;VILLE SOUS LA FERTE;10310;CLAIRVAUX SUR AUBE;VILLE SOUS LA FERTE;48.1358669154,4.77205760299
10320;RILLY STE SYRE;10280;;RILLY STE SYRE;48.4502459762,3.96773143034
10427;VILLE SUR ARCE;10110;;VILLE SUR ARCE;48.1090387806,4.4449720869
02545;LA NEUVILLE BOSMONT;02250;;LA NEUVILLE BOSMONT;49.7145039747,3.83367274994
10323;ROMILLY SUR SEINE;10100;;ROMILLY SUR SEINE;48.5185939749,3.72154151549
10428;VILLE SUR TERRE;10200;;VILLE SUR TERRE;48.3359047589,4.7348362857
02549;NEUVILLE ST AMAND;02100;;NEUVILLE ST AMAND;49.8206477091,3.33360991741
10326;ROSNAY L HOPITAL;10500;;ROSNAY L HOPITAL;48.4577724478,4.50578895388
10438;VITRY LE CROISE;10110;;VITRY LE CROISE;48.1434911643,4.57858150099
02551;NEUVILLE SUR MARGIVAL;02880;;NEUVILLE SUR MARGIVAL;49.4548729773,3.3986658815
10329;ROUILLY ST LOUP;10800;;ROUILLY ST LOUP;48.2647207301,4.1494550348
10442;VOUE;10150;;VOUE;48.459643518,4.12408661799
02558;LE NOUVION EN THIERACHE;02170;;LE NOUVION EN THIERACHE;50.0086867152,3.80929288198
10329;ROUILLY ST LOUP;10800;ROUILLEROT;ROUILLY ST LOUP;48.2647207301,4.1494550348
10443;VOUGREY;10210;;VOUGREY;48.0875972332,4.23598090063
02563;NOYALES;02120;;NOYALES;49.9082559491,3.53848565514
10332;RUVIGNY;10410;;RUVIGNY;48.272139831,4.18869827764
11007;ALBIERES;11330;;ALBIERES;42.946718737,2.44639291505
02565;OEUILLY;02160;;OEUILLY;49.3928856944,3.68222741301
10336;ST BENOIT SUR SEINE;10180;;ST BENOIT SUR SEINE;48.3800523103,4.05187885884
11010;ANTUGNAC;11190;;ANTUGNAC;42.9622347688,2.21863246536
02573;ORGEVAL;02860;;ORGEVAL;49.5041140764,3.70337016497
10339;ST FLAVY;10350;;ST FLAVY;48.4064559956,3.77621221951
11015;ARQUES;11190;;ARQUES;42.9472177334,2.38719202465
02574;ORIGNY EN THIERACHE;02550;;ORIGNY EN THIERACHE;49.8861904623,4.01101149757
10340;ST GERMAIN;10120;CHEVILLELE;ST GERMAIN;48.2535079309,4.01065245328
11022;AZILLE;11700;;AZILLE;43.2737058086,2.65746942689
02582;PAISSY;02160;;PAISSY;49.4263466952,3.7014989195
