Code_commune_INSEE;Nom_commune;Code_postal;Ligne_5;Libellé_d_acheminement;coordonnees_gps
03195;NERIS LES BAINS;03310;;NERIS LES BAINS;46.2994420207,2.67574785449
03121;GENNETINES;03400;;GENNETINES;46.6296398798,3.40498318638
03201;NIZEROLLES;03250;;NIZEROLLES;46.1072966632,3.64408039597
03128;HURIEL;03380;;HURIEL;46.3770986154,2.48198364823
03205;PERIGNY;03120;;PERIGNY;46.2466695762,3.56039743926
03131;ISSERPENT;03120;;ISSERPENT;46.1542955213,3.61825876933
03212;QUINSSAINES;03380;;QUINSSAINES;46.3092023874,2.49444625529
03135;LALIZOLLE;03450;;LALIZOLLE;46.1646303512,3.00825559496
03218;ST AUBIN LE MONIAL;03160;;ST AUBIN LE MONIAL;46.535765709,3.00144398409
03136;LAMAIDS;03380;;LAMAIDS;46.3040091673,2.43816762566
03220;ST BONNET DE ROCHEFORT;03800;;ST BONNET DE ROCHEFORT;46.1505309834,3.14079379444
03137;LANGY;03150;;LANGY;46.2728774328,3.46181153336
03227;ST DIDIER LA FORET;03110;;ST DIDIER LA FORET;46.2294445001,3.33625437059
03139;LAPRUGNE;03250;;LAPRUGNE;45.9937136705,3.76308018051
03230;ST ETIENNE DE VICQ;03300;;ST ETIENNE DE VICQ;46.1731804107,3.53616252147
03140;LAVAULT STE ANNE;03100;;LAVAULT STE ANNE;46.3086016059,2.60160340266
03235;ST GERAND LE PUY;03150;;ST GERAND LE PUY;46.2637640044,3.51175451596
03142;LENAX;03130;;LENAX;46.3039709752,3.83067027438
03239;ST LEGER SUR VOUZANCE;03130;;ST LEGER SUR VOUZANCE;46.4092021906,3.93725507717
03143;LETELON;03360;;LETELON;46.6563542672,2.59495618457
03250;ST PIERRE LAVAL;42620;;ST PIERRE LAVAL;46.1954561376,3.77027031369
03146;LIMOISE;03320;;LIMOISE;46.6841966516,3.05488887781
03258;ST REMY EN ROLLAT;03110;;ST REMY EN ROLLAT;46.1924635321,3.38335990994
03150;LOUROUX BOURBONNAIS;03350;;LOUROUX BOURBONNAIS;46.5340787528,2.8385482758
03264;ST YORRE;03270;;ST YORRE;46.0642575713,3.46749665689
03156;LUSIGNY;03230;;LUSIGNY;46.5717045071,3.48949898102
03265;SALIGNY SUR ROUDON;03470;;SALIGNY SUR ROUDON;46.4629712549,3.75125723141
03158;HAUT BOCAGE;03190;LOUROUX HODEMENT;HAUT BOCAGE;46.4928636302,2.65852361334
03268;SAULZET;03800;;SAULZET;46.1377242918,3.22134877309
03158;HAUT BOCAGE;03190;MAILLET;HAUT BOCAGE;46.4928636302,2.65852361334
03273;SEUILLET;03260;;SEUILLET;46.2045684264,3.46787844535
03159;MALICORNE;03600;;MALICORNE;46.3072678602,2.77027684739
03284;THIONNE;03220;;THIONNE;46.4118104465,3.57326147664
03160;MARCENAT;03260;;MARCENAT;46.237174267,3.39703242692
03297;VALLON EN SULLY;03190;;VALLON EN SULLY;46.5401383727,2.61674884517
03165;LE MAYET DE MONTAGNE;03250;;LE MAYET DE MONTAGNE;46.0602181682,3.65546570851
03301;VAUX;03190;;VAUX;46.4214002132,2.57435492547
